timestamp,api_latency_ms,error_rate,db_connections,queue_depth,vendor_latency_ms,requests_per_minute
2026-01-05T13:25:00Z,217,0.0048,36,15,255,525
2026-01-05T13:30:00Z,189,0.0049,35,16,243,509
2026-01-05T13:35:00Z,186,0.0048,30,17,247,527
2026-01-05T13:40:00Z,203,0.004,32,19,244,510
2026-01-05T13:45:00Z,211,0.0048,37,13,269,500
2026-01-05T13:50:00Z,176,0.0048,36,18,251,506
2026-01-05T13:55:00Z,205,0.0047,35,16,257,528
2026-01-05T14:00:00Z,199,0.0049,32,14,246,471
2026-01-05T14:05:00Z,171,0.0041,31,7,241,463
2026-01-05T14:10:00Z,185,0.004,34,11,242,450
2026-01-05T14:15:00Z,204,0.0042,33,8,261,415
2026-01-05T14:20:00Z,199,0.0038,28,12,226,400
2026-01-05T14:25:00Z,160,0.0049,27,12,266,423
2026-01-05T14:30:00Z,147,0.0042,25,6,248,352
2026-01-05T14:35:00Z,164,0.0028,27,7,263,351
2026-01-05T14:40:00Z,149,0.0029,30,9,248,370
2026-01-05T14:45:00Z,135,0.0036,27,11,241,369
2026-01-05T14:50:00Z,136,0.0043,29,7,209,329
2026-01-05T14:55:00Z,144,0.0032,27,6,192,343
2026-01-05T15:00:00Z,149,0.0017,26,6,208,324
2026-01-05T15:05:00Z,136,0.0035,24,7,218,314
2026-01-05T15:10:00Z,161,0.0027,25,8,229,341
2026-01-05T15:15:00Z,176,0.0024,24,6,241,303
2026-01-05T15:20:00Z,147,0.0017,28,7,222,343
2026-01-05T15:25:00Z,131,0.0026,32,5,262,323
2026-01-05T15:30:00Z,193,0.0043,26,7,221,349
2026-01-05T15:35:00Z,166,0.0021,28,8,216,347
2026-01-05T15:40:00Z,157,0.0024,28,6,235,376
2026-01-05T15:45:00Z,153,0.0043,27,10,227,370
2026-01-05T15:50:00Z,186,0.0035,30,12,233,386
2026-01-05T15:55:00Z,179,0.003,29,8,249,387
2026-01-05T16:00:00Z,161,0.0044,29,10,245,386
2026-01-05T16:05:00Z,177,0.0035,34,10,242,412
2026-01-05T16:10:00Z,178,0.0031,33,10,252,417
2026-01-05T16:15:00Z,184,0.0048,29,15,257,419
2026-01-05T16:20:00Z,144,0.0042,31,10,273,408
2026-01-05T16:25:00Z,193,0.0035,34,12,236,439
2026-01-05T16:30:00Z,174,0.0049,32,12,243,472
2026-01-05T16:35:00Z,194,0.006,31,13,246,457
2026-01-05T16:40:00Z,193,0.0046,32,17,256,509
2026-01-05T16:45:00Z,175,0.004,32,15,215,490
2026-01-05T16:50:00Z,189,0.0043,35,16,291,521
2026-01-05T16:55:00Z,210,0.0042,33,13,229,496
2026-01-05T17:00:00Z,190,0.006,30,15,280,542
2026-01-05T17:05:00Z,177,0.0043,33,13,245,514
2026-01-05T17:10:00Z,181,0.0038,34,15,284,514
2026-01-05T17:15:00Z,177,0.0042,32,15,239,505
2026-01-05T17:20:00Z,226,0.0046,33,15,283,501
2026-01-05T17:25:00Z,203,0.0051,35,11,238,512
2026-01-05T17:30:00Z,216,0.0037,33,15,248,507
2026-01-05T17:35:00Z,195,0.005,36,22,277,533
2026-01-05T17:40:00Z,186,0.0056,34,17,223,514
2026-01-05T17:45:00Z,190,0.0041,31,9,277,483
2026-01-05T17:50:00Z,200,0.0049,31,14,291,494
2026-01-05T17:55:00Z,194,0.0051,34,17,271,513
2026-01-05T18:00:00Z,212,0.0049,30,12,242,474
2026-01-05T18:05:00Z,195,0.0042,30,11,235,455
2026-01-05T18:10:00Z,192,0.0037,31,14,276,471
2026-01-05T18:15:00Z,182,0.0043,31,12,235,445
2026-01-05T18:20:00Z,191,0.0039,31,15,231,445
2026-01-05T18:25:00Z,166,0.0038,31,14,226,405
2026-01-05T18:30:00Z,162,0.0035,31,7,242,414
2026-01-05T18:35:00Z,162,0.0033,35,13,216,427
2026-01-05T18:40:00Z,177,0.0032,29,10,232,387
2026-01-05T18:45:00Z,152,0.0038,29,9,228,353
2026-01-05T18:50:00Z,194,0.0042,32,8,230,397
2026-01-05T18:55:00Z,169,0.0028,29,7,216,369
2026-01-05T19:00:00Z,170,0.0046,27,6,249,386
2026-01-05T19:05:00Z,144,0.0039,30,7,248,363
2026-01-05T19:10:00Z,175,0.0027,28,7,216,364
2026-01-05T19:15:00Z,174,0.0041,30,7,225,351
2026-01-05T19:20:00Z,176,0.0035,30,9,247,367
2026-01-05T19:25:00Z,131,0.0043,29,3,210,319
2026-01-05T19:30:00Z,155,0.0027,31,7,255,323
2026-01-05T19:35:00Z,138,0.0033,26,10,213,349
2026-01-05T19:40:00Z,180,0.0018,26,3,237,336
2026-01-05T19:45:00Z,153,0.0031,27,6,230,347
2026-01-05T19:50:00Z,161,0.0043,32,8,236,370
2026-01-05T19:55:00Z,180,0.0028,28,9,237,350
2026-01-05T20:00:00Z,131,0.0036,30,13,249,385
2026-01-05T20:05:00Z,144,0.0024,29,7,242,382
2026-01-05T20:10:00Z,168,0.0045,28,4,235,383
2026-01-05T20:15:00Z,179,0.0031,31,9,228,410
2026-01-05T20:20:00Z,185,0.0024,27,12,248,422
2026-01-05T20:25:00Z,206,0.0034,29,11,229,397
2026-01-05T20:30:00Z,161,0.0042,32,10,221,415
2026-01-05T20:35:00Z,183,0.0043,31,14,240,446
2026-01-05T20:40:00Z,173,0.0045,31,9,237,405
2026-01-05T20:45:00Z,167,0.0034,32,12,245,469
2026-01-05T20:50:00Z,200,0.0031,33,14,248,460
2026-01-05T20:55:00Z,169,0.0038,32,11,263,458
2026-01-05T21:00:00Z,184,0.0045,33,14,259,472
2026-01-05T21:05:00Z,183,0.004,33,16,289,496
2026-01-05T21:10:00Z,189,0.005,35,18,240,518
2026-01-05T21:15:00Z,180,0.004,33,14,280,496
2026-01-05T21:20:00Z,202,0.0048,33,14,247,485
2026-01-05T21:25:00Z,199,0.006,37,16,257,530
2026-01-05T21:30:00Z,205,0.0057,37,17,281,555
2026-01-05T21:35:00Z,193,0.0047,34,17,295,540
2026-01-05T21:40:00Z,173,0.0051,36,12,277,517
2026-01-05T21:45:00Z,194,0.0045,35,18,262,525
2026-01-05T21:50:00Z,185,0.0039,34,15,254,528
2026-01-05T21:55:00Z,196,0.0041,34,13,253,525
2026-01-05T22:00:00Z,178,0.0037,34,12,242,517
2026-01-05T22:05:00Z,180,0.0046,32,12,286,513
2026-01-05T22:10:00Z,193,0.0035,32,9,225,451
2026-01-05T22:15:00Z,171,0.0048,31,10,281,460
2026-01-05T22:20:00Z,194,0.0041,31,9,219,430
2026-01-05T22:25:00Z,185,0.0035,32,17,276,448
2026-01-05T22:30:00Z,181,0.005,31,14,237,430
2026-01-05T22:35:00Z,169,0.0038,31,6,213,418
2026-01-05T22:40:00Z,187,0.0043,31,11,257,419
2026-01-05T22:45:00Z,162,0.0048,32,7,205,423
2026-01-05T22:50:00Z,150,0.0044,31,9,247,397
2026-01-05T22:55:00Z,178,0.0044,27,10,237,382
2026-01-05T23:00:00Z,177,0.0043,29,7,236,382
2026-01-05T23:05:00Z,141,0.0023,27,6,253,337
2026-01-05T23:10:00Z,151,0.0041,26,10,251,362
2026-01-05T23:15:00Z,153,0.0035,26,9,229,320
2026-01-05T23:20:00Z,151,0.002,28,6,201,338
2026-01-05T23:25:00Z,160,0.0019,28,7,218,318
2026-01-05T23:30:00Z,163,0.0027,27,9,198,350
2026-01-05T23:35:00Z,172,0.0028,28,9,257,341
2026-01-05T23:40:00Z,150,0.0035,30,6,229,352
2026-01-05T23:45:00Z,164,0.0029,29,3,242,328
2026-01-05T23:50:00Z,157,0.0016,28,7,221,332
2026-01-05T23:55:00Z,154,0.0039,27,3,257,358
2026-01-06T00:00:00Z,176,0.0037,26,5,229,341
2026-01-06T00:05:00Z,179,0.0037,27,8,208,380
2026-01-06T00:10:00Z,141,0.0031,31,4,262,326
2026-01-06T00:15:00Z,167,0.0032,28,8,213,360
2026-01-06T00:20:00Z,158,0.0044,30,8,246,376
2026-01-06T00:25:00Z,170,0.0039,32,8,231,382
2026-01-06T00:30:00Z,170,0.0037,30,14,255,391
2026-01-06T00:35:00Z,171,0.0034,35,8,268,445
