timestamp,api_latency_ms,error_rate,db_connections,queue_depth,vendor_latency_ms,requests_per_minute,incident_type
2026-02-02T10:45:00Z,1113,0.0460,41,102,554,907,application_regression
2026-02-02T10:50:00Z,1150,0.0164,53,49,130,820,database_pressure
2026-02-02T10:55:00Z,1653,0.0554,75,62,365,952,application_regression
2026-02-02T11:00:00Z,565,0.0005,55,14,244,652,database_pressure
2026-02-02T11:05:00Z,626,0.0501,45,153,954,930,vendor_degradation
2026-02-02T11:10:00Z,932,0.0231,60,29,575,581,application_regression
2026-02-02T11:15:00Z,641,0.0313,22,74,140,640,application_regression
2026-02-02T11:20:00Z,819,0.0200,33,71,1437,454,vendor_degradation
2026-02-02T11:25:00Z,744,0.0451,54,66,1140,596,vendor_degradation
2026-02-02T11:30:00Z,183,0.0119,31,24,328,813,normal
2026-02-02T11:35:00Z,1346,0.0587,62,46,315,192,application_regression
2026-02-02T11:40:00Z,971,0.0683,64,55,426,583,application_regression
2026-02-02T11:45:00Z,800,0.0290,28,112,1612,1002,vendor_degradation
2026-02-02T11:50:00Z,1074,0.0158,66,175,392,906,database_pressure
2026-02-02T11:55:00Z,271,0.0077,39,38,377,258,normal
2026-02-02T12:00:00Z,671,0.0665,51,88,357,748,application_regression
2026-02-02T12:05:00Z,1527,0.0371,77,95,392,715,database_pressure
2026-02-02T12:10:00Z,745,0.0539,51,104,1842,195,vendor_degradation
2026-02-02T12:15:00Z,806,0.0005,43,17,86,654,application_regression
2026-02-02T12:20:00Z,1327,0.0259,31,88,272,626,application_regression
2026-02-02T12:25:00Z,151,0.0037,31,37,527,537,normal
2026-02-02T12:30:00Z,899,0.0356,99,134,327,789,database_pressure
2026-02-02T12:35:00Z,119,0.0064,15,17,322,706,normal
2026-02-02T12:40:00Z,110,0.0089,67,43,242,1673,traffic_spike
2026-02-02T12:45:00Z,1228,0.0430,50,27,1173,909,vendor_degradation
2026-02-02T12:50:00Z,906,0.0424,77,93,240,915,database_pressure
2026-02-02T12:55:00Z,595,0.0699,36,59,457,570,application_regression
2026-02-02T13:00:00Z,718,0.0034,75,134,354,809,database_pressure
2026-02-02T13:05:00Z,978,0.0646,43,71,2034,791,vendor_degradation
2026-02-02T13:10:00Z,163,0.0050,28,15,151,390,normal
2026-02-02T13:15:00Z,478,0.0213,41,63,325,1557,traffic_spike
2026-02-02T13:20:00Z,939,0.0469,59,112,1155,192,vendor_degradation
2026-02-02T13:25:00Z,214,0.0212,67,96,145,1010,application_regression
2026-02-02T13:30:00Z,1163,0.0708,53,42,123,560,application_regression
2026-02-02T13:35:00Z,597,0.0813,65,48,402,701,application_regression
2026-02-02T13:40:00Z,1041,0.0163,29,31,1664,552,vendor_degradation
2026-02-02T13:45:00Z,373,0.0032,41,29,259,326,normal
2026-02-02T13:50:00Z,478,0.0322,62,52,141,2092,traffic_spike
2026-02-02T13:55:00Z,1159,0.0103,36,63,337,825,application_regression
2026-02-02T14:00:00Z,568,0.0032,62,39,282,480,traffic_spike
2026-02-02T14:05:00Z,168,0.0005,40,34,204,431,normal
2026-02-02T14:10:00Z,246,0.0110,25,24,157,710,normal
2026-02-02T14:15:00Z,860,0.0209,34,19,419,1567,traffic_spike
2026-02-02T14:20:00Z,161,0.0098,27,4,261,1160,traffic_spike
2026-02-02T14:25:00Z,1095,0.0461,100,130,323,647,database_pressure
2026-02-02T14:30:00Z,258,0.0013,34,3,210,536,normal
2026-02-02T14:35:00Z,1123,0.0353,60,115,533,644,vendor_degradation
2026-02-02T14:40:00Z,487,0.0106,59,75,399,1970,traffic_spike
2026-02-02T14:45:00Z,261,0.0189,34,31,246,413,normal
2026-02-02T14:50:00Z,959,0.1137,65,41,475,542,application_regression
2026-02-02T14:55:00Z,747,0.0061,47,33,105,2175,traffic_spike
2026-02-02T15:00:00Z,278,0.0027,30,30,438,270,normal
2026-02-02T15:05:00Z,942,0.0527,71,45,411,505,application_regression
2026-02-02T15:10:00Z,691,0.0005,80,49,162,1351,traffic_spike
2026-02-02T15:15:00Z,388,0.0246,60,5,114,1774,traffic_spike
2026-02-02T15:20:00Z,973,0.0421,100,71,445,569,database_pressure
2026-02-02T15:25:00Z,424,0.0344,56,68,205,2071,traffic_spike
2026-02-02T15:30:00Z,1772,0.0492,59,25,425,617,application_regression
2026-02-02T15:35:00Z,1347,0.0285,89,140,559,617,database_pressure
2026-02-02T15:40:00Z,341,0.0116,22,66,319,1363,traffic_spike
2026-02-02T15:45:00Z,1081,0.0359,47,103,1772,887,vendor_degradation
2026-02-02T15:50:00Z,2069,0.0516,70,70,308,582,application_regression
2026-02-02T15:55:00Z,104,0.0087,35,21,462,353,normal
2026-02-02T16:00:00Z,788,0.0142,52,71,287,645,database_pressure
2026-02-02T16:05:00Z,1435,0.0714,55,22,197,472,application_regression
2026-02-02T16:10:00Z,1,0.0147,40,53,83,1875,traffic_spike
2026-02-02T16:15:00Z,1309,0.0443,52,88,233,574,application_regression
2026-02-02T16:20:00Z,242,0.0465,45,96,1825,613,vendor_degradation
2026-02-02T16:25:00Z,415,0.0069,57,69,298,2333,traffic_spike
2026-02-02T16:30:00Z,252,0.0059,47,30,365,600,normal
2026-02-02T16:35:00Z,992,0.0207,53,96,1258,191,vendor_degradation
2026-02-02T16:40:00Z,209,0.0122,43,11,262,410,normal
2026-02-02T16:45:00Z,758,0.0104,51,67,538,1343,traffic_spike
2026-02-02T16:50:00Z,1148,0.0460,54,71,1485,381,vendor_degradation
2026-02-02T16:55:00Z,803,0.0242,44,57,369,1743,traffic_spike
2026-02-02T17:00:00Z,761,0.0064,59,80,257,454,application_regression
2026-02-02T17:05:00Z,1214,0.0679,54,64,398,685,application_regression
2026-02-02T17:10:00Z,1971,0.0174,49,36,1107,539,vendor_degradation
2026-02-02T17:15:00Z,789,0.0211,90,146,459,1413,traffic_spike
2026-02-02T17:20:00Z,224,0.0005,29,4,93,456,normal
2026-02-02T17:25:00Z,1188,0.0631,46,61,354,989,application_regression
2026-02-02T17:30:00Z,1086,0.0536,49,101,615,738,application_regression
2026-02-02T17:35:00Z,1315,0.0525,63,179,1747,757,vendor_degradation
2026-02-02T17:40:00Z,1098,0.0381,45,110,1454,797,vendor_degradation
2026-02-02T17:45:00Z,1069,0.0183,57,30,1183,462,vendor_degradation
2026-02-02T17:50:00Z,1235,0.0337,41,66,362,700,application_regression
2026-02-02T17:55:00Z,1338,0.0385,86,131,437,479,database_pressure
2026-02-02T18:00:00Z,830,0.0285,64,108,554,933,database_pressure
2026-02-02T18:05:00Z,859,0.0489,80,219,150,683,database_pressure
2026-02-02T18:10:00Z,1163,0.0122,36,94,792,626,vendor_degradation
2026-02-02T18:15:00Z,519,0.0378,95,63,90,255,database_pressure
2026-02-02T18:20:00Z,768,0.0116,85,107,398,982,database_pressure
2026-02-02T18:25:00Z,1122,0.0240,54,23,1853,531,vendor_degradation
2026-02-02T18:30:00Z,219,0.0274,48,34,472,1795,traffic_spike
2026-02-02T18:35:00Z,296,0.0190,86,48,247,725,traffic_spike
2026-02-02T18:40:00Z,273,0.0088,27,25,325,497,normal
2026-02-02T18:45:00Z,320,0.0024,92,12,2,762,database_pressure
2026-02-02T18:50:00Z,760,0.0862,91,81,447,644,database_pressure
2026-02-02T18:55:00Z,267,0.0059,28,1,374,472,normal
2026-02-02T19:00:00Z,468,0.0313,42,19,373,974,application_regression
2026-02-02T19:05:00Z,264,0.0156,94,156,410,776,database_pressure
2026-02-02T19:10:00Z,415,0.0594,57,43,480,479,application_regression
2026-02-02T19:15:00Z,916,0.0531,66,43,296,821,application_regression
2026-02-02T19:20:00Z,364,0.0530,38,54,101,532,application_regression
2026-02-02T19:25:00Z,481,0.0253,107,148,491,1081,database_pressure
2026-02-02T19:30:00Z,1229,0.0672,43,22,237,719,application_regression
2026-02-02T19:35:00Z,1242,0.0795,38,88,457,1137,application_regression
2026-02-02T19:40:00Z,353,0.0172,55,134,1472,687,vendor_degradation
2026-02-02T19:45:00Z,924,0.0334,47,1,474,572,application_regression
2026-02-02T19:50:00Z,818,0.0224,68,65,516,2318,traffic_spike
2026-02-02T19:55:00Z,1154,0.0275,71,110,494,736,database_pressure
2026-02-02T20:00:00Z,934,0.0585,104,40,279,544,database_pressure
2026-02-02T20:05:00Z,483,0.0712,72,58,1334,586,vendor_degradation
2026-02-02T20:10:00Z,1225,0.0457,50,96,1024,379,vendor_degradation
2026-02-02T20:15:00Z,1201,0.0324,62,58,1664,1024,vendor_degradation
2026-02-02T20:20:00Z,223,0.0005,38,6,213,722,normal
2026-02-02T20:25:00Z,292,0.0033,37,11,238,424,normal
2026-02-02T20:30:00Z,80,0.0040,10,4,170,231,normal
2026-02-02T20:35:00Z,313,0.0005,37,10,382,723,normal
2026-02-02T20:40:00Z,1137,0.0395,69,20,248,753,database_pressure
2026-02-02T20:45:00Z,819,0.0005,98,42,1207,1086,vendor_degradation
2026-02-02T20:50:00Z,290,0.0277,58,71,468,2362,traffic_spike
2026-02-02T20:55:00Z,1146,0.0150,58,98,407,1002,database_pressure
2026-02-02T21:00:00Z,271,0.0005,28,1,249,433,normal
2026-02-02T21:05:00Z,1635,0.0333,62,17,951,612,vendor_degradation
2026-02-02T21:10:00Z,217,0.0005,55,25,324,496,normal
2026-02-02T21:15:00Z,914,0.0005,26,43,442,1742,traffic_spike
2026-02-02T21:20:00Z,278,0.0305,101,113,203,1181,database_pressure
2026-02-02T21:25:00Z,1468,0.0757,54,24,353,822,application_regression
2026-02-02T21:30:00Z,781,0.0711,105,99,275,847,database_pressure
2026-02-02T21:35:00Z,1351,0.0018,74,122,292,625,database_pressure
2026-02-02T21:40:00Z,341,0.0426,66,66,602,540,application_regression
2026-02-02T21:45:00Z,783,0.0565,58,105,1783,441,vendor_degradation
2026-02-02T21:50:00Z,739,0.0156,18,61,2307,656,vendor_degradation
2026-02-02T21:55:00Z,350,0.0340,83,114,418,830,database_pressure
2026-02-02T22:00:00Z,1113,0.0101,82,156,259,953,database_pressure
2026-02-02T22:05:00Z,319,0.0436,57,92,1149,571,vendor_degradation
2026-02-02T22:10:00Z,728,0.0229,62,40,436,1967,traffic_spike
2026-02-02T22:15:00Z,870,0.0097,51,142,1619,951,vendor_degradation
2026-02-02T22:20:00Z,833,0.0312,44,59,585,874,vendor_degradation
2026-02-02T22:25:00Z,1111,0.0187,43,47,1263,807,vendor_degradation
2026-02-02T22:30:00Z,780,0.0433,30,131,272,827,vendor_degradation
2026-02-02T22:35:00Z,444,0.0005,88,67,51,958,database_pressure
2026-02-02T22:40:00Z,159,0.0155,48,20,189,717,normal
2026-02-02T22:45:00Z,982,0.0174,45,78,2235,704,vendor_degradation
2026-02-02T22:50:00Z,554,0.0331,105,197,404,747,database_pressure
2026-02-02T22:55:00Z,755,0.0690,62,47,434,468,application_regression
2026-02-02T23:00:00Z,592,0.0471,36,146,995,648,vendor_degradation
2026-02-02T23:05:00Z,230,0.0005,26,8,469,478,normal
2026-02-02T23:10:00Z,893,0.0206,60,125,399,1906,traffic_spike
2026-02-02T23:15:00Z,1303,0.0500,63,52,1011,530,vendor_degradation
2026-02-02T23:20:00Z,542,0.0175,69,101,359,2842,traffic_spike
2026-02-02T23:25:00Z,898,0.0005,79,122,143,773,database_pressure
2026-02-02T23:30:00Z,60,0.0671,40,88,697,724,vendor_degradation
2026-02-02T23:35:00Z,779,0.0608,53,53,268,713,application_regression
2026-02-02T23:40:00Z,1056,0.0005,50,19,1579,507,vendor_degradation
2026-02-02T23:45:00Z,1288,0.0005,79,104,381,614,database_pressure
2026-02-02T23:50:00Z,200,0.0174,40,23,138,477,normal
2026-02-02T23:55:00Z,1524,0.0309,43,71,1688,408,vendor_degradation
2026-02-03T00:00:00Z,302,0.0136,47,27,551,437,normal
2026-02-03T00:05:00Z,193,0.0263,36,17,376,844,normal
2026-02-03T00:10:00Z,840,0.0682,38,33,325,671,application_regression
2026-02-03T00:15:00Z,1610,0.0522,71,103,387,747,application_regression
2026-02-03T00:20:00Z,95,0.0005,44,4,278,650,normal
2026-02-03T00:25:00Z,232,0.0030,41,29,296,762,normal
2026-02-03T00:30:00Z,940,0.0603,45,48,588,728,application_regression
2026-02-03T00:35:00Z,1170,0.0252,43,39,103,1995,traffic_spike
2026-02-03T00:40:00Z,1062,0.0783,50,53,283,727,application_regression
2026-02-03T00:45:00Z,106,0.0005,29,27,323,351,normal
2026-02-03T00:50:00Z,1402,0.0178,59,33,361,2048,traffic_spike
2026-02-03T00:55:00Z,1138,0.0147,63,40,170,2045,traffic_spike
2026-02-03T01:00:00Z,408,0.0041,30,73,157,1966,traffic_spike
2026-02-03T01:05:00Z,511,0.0493,68,157,441,722,database_pressure
2026-02-03T01:10:00Z,274,0.0964,48,45,342,817,application_regression
2026-02-03T01:15:00Z,1053,0.0236,54,72,1701,925,vendor_degradation
2026-02-03T01:20:00Z,111,0.0033,19,14,276,489,normal
2026-02-03T01:25:00Z,1174,0.0434,64,43,605,585,database_pressure
2026-02-03T01:30:00Z,1034,0.0048,73,72,741,470,vendor_degradation
2026-02-03T01:35:00Z,443,0.0052,72,64,365,1464,traffic_spike
2026-02-03T01:40:00Z,1637,0.0563,61,74,157,898,application_regression
2026-02-03T01:45:00Z,530,0.0302,45,9,436,837,traffic_spike
2026-02-03T01:50:00Z,959,0.0375,107,76,440,799,database_pressure
2026-02-03T01:55:00Z,154,0.0144,52,9,374,395,normal
2026-02-03T02:00:00Z,1225,0.0148,79,35,236,779,database_pressure
2026-02-03T02:05:00Z,719,0.0297,112,114,204,1058,database_pressure
2026-02-03T02:10:00Z,1009,0.0244,42,177,1169,520,vendor_degradation
2026-02-03T02:15:00Z,471,0.0362,87,54,405,2429,traffic_spike
2026-02-03T02:20:00Z,1046,0.0122,51,51,405,1620,traffic_spike
2026-02-03T02:25:00Z,892,0.0576,134,114,652,500,database_pressure
2026-02-03T02:30:00Z,843,0.0097,60,102,339,1436,traffic_spike
2026-02-03T02:35:00Z,388,0.0252,45,42,370,1802,traffic_spike
2026-02-03T02:40:00Z,668,0.0224,34,73,561,1445,traffic_spike
2026-02-03T02:45:00Z,1414,0.0189,94,112,601,733,database_pressure
2026-02-03T02:50:00Z,1505,0.0311,53,34,1637,939,vendor_degradation
2026-02-03T02:55:00Z,176,0.0441,25,99,323,248,application_regression
2026-02-03T03:00:00Z,593,0.0361,51,30,387,679,application_regression
2026-02-03T03:05:00Z,656,0.0018,39,16,114,1496,traffic_spike
2026-02-03T03:10:00Z,211,0.0064,19,11,283,374,normal
2026-02-03T03:15:00Z,1481,0.0162,61,128,424,390,database_pressure
2026-02-03T03:20:00Z,259,0.0007,40,1,253,869,normal
2026-02-03T03:25:00Z,839,0.0557,17,5,307,708,application_regression
2026-02-03T03:30:00Z,1047,0.0380,44,1,755,1090,vendor_degradation
2026-02-03T03:35:00Z,1794,0.0137,57,52,1316,798,vendor_degradation
2026-02-03T03:40:00Z,1108,0.0385,31,68,1529,672,vendor_degradation
2026-02-03T03:45:00Z,302,0.0114,41,27,68,712,normal
2026-02-03T03:50:00Z,651,0.0340,60,62,1593,521,vendor_degradation
2026-02-03T03:55:00Z,339,0.0088,33,22,295,735,normal
2026-02-03T04:00:00Z,335,0.0064,46,29,397,773,normal
2026-02-03T04:05:00Z,966,0.0167,98,114,411,366,database_pressure
2026-02-03T04:10:00Z,1030,0.0568,91,79,517,1092,application_regression
2026-02-03T04:15:00Z,1,0.0101,47,46,424,970,traffic_spike
2026-02-03T04:20:00Z,1304,0.0457,73,45,317,810,application_regression
2026-02-03T04:25:00Z,244,0.0025,9,19,333,558,normal
2026-02-03T04:30:00Z,587,0.0260,91,165,522,684,database_pressure
2026-02-03T04:35:00Z,321,0.0039,23,27,242,656,normal
2026-02-03T04:40:00Z,433,0.0363,90,128,135,645,database_pressure
2026-02-03T04:45:00Z,1314,0.0523,51,90,372,928,application_regression
2026-02-03T04:50:00Z,53,0.0112,21,34,407,451,normal
2026-02-03T04:55:00Z,541,0.0299,61,78,619,2112,traffic_spike
2026-02-03T05:00:00Z,834,0.0213,50,49,856,563,vendor_degradation
2026-02-03T05:05:00Z,462,0.0134,78,31,526,2074,traffic_spike
2026-02-03T05:10:00Z,1367,0.0383,93,108,269,905,database_pressure
2026-02-03T05:15:00Z,1131,0.0016,46,1,321,708,application_regression
2026-02-03T05:20:00Z,213,0.0195,62,92,518,2394,traffic_spike
2026-02-03T05:25:00Z,333,0.0178,90,116,472,676,database_pressure
2026-02-03T05:30:00Z,206,0.0069,6,4,231,632,normal
2026-02-03T05:35:00Z,679,0.0421,67,61,489,2677,traffic_spike
2026-02-03T05:40:00Z,1578,0.0418,50,108,369,1015,application_regression
2026-02-03T05:45:00Z,663,0.0289,96,77,500,578,database_pressure
2026-02-03T05:50:00Z,1304,0.0273,78,55,101,1854,traffic_spike
2026-02-03T05:55:00Z,1068,0.0177,56,29,227,1766,traffic_spike
2026-02-03T06:00:00Z,875,0.0089,105,122,100,608,database_pressure
2026-02-03T06:05:00Z,289,0.0132,33,79,364,1507,traffic_spike
2026-02-03T06:10:00Z,240,0.0047,46,14,352,797,normal
2026-02-03T06:15:00Z,202,0.0095,27,7,274,269,normal
2026-02-03T06:20:00Z,1494,0.0150,43,45,159,416,application_regression
2026-02-03T06:25:00Z,153,0.0009,35,18,293,416,normal
2026-02-03T06:30:00Z,270,0.0108,36,1,396,410,normal
2026-02-03T06:35:00Z,206,0.0062,44,1,470,598,normal
2026-02-03T06:40:00Z,1140,0.0080,41,71,376,1401,traffic_spike
2026-02-03T06:45:00Z,196,0.0100,25,12,201,178,normal
2026-02-03T06:50:00Z,270,0.0099,41,7,386,636,normal
2026-02-03T06:55:00Z,1040,0.0752,108,61,429,766,database_pressure
2026-02-03T07:00:00Z,717,0.0592,67,118,711,665,vendor_degradation
2026-02-03T07:05:00Z,1286,0.0297,31,35,1176,926,vendor_degradation
2026-02-03T07:10:00Z,587,0.0051,41,33,259,2082,traffic_spike
2026-02-03T07:15:00Z,109,0.0549,80,106,289,745,database_pressure
2026-02-03T07:20:00Z,1244,0.0352,64,92,139,397,application_regression
2026-02-03T07:25:00Z,588,0.0184,73,63,1012,649,vendor_degradation
2026-02-03T07:30:00Z,536,0.0188,38,54,414,2363,traffic_spike
2026-02-03T07:35:00Z,989,0.0557,70,70,567,1010,application_regression
2026-02-03T07:40:00Z,90,0.0026,47,33,454,567,normal
2026-02-03T07:45:00Z,242,0.0013,40,19,148,188,normal
2026-02-03T07:50:00Z,739,0.0220,74,27,292,1245,traffic_spike
2026-02-03T07:55:00Z,999,0.0486,59,32,741,273,vendor_degradation
2026-02-03T08:00:00Z,1115,0.0400,58,36,957,604,vendor_degradation
2026-02-03T08:05:00Z,896,0.0850,20,66,291,46,application_regression
2026-02-03T08:10:00Z,676,0.0281,38,62,123,1921,traffic_spike
2026-02-03T08:15:00Z,570,0.0090,48,99,160,800,database_pressure
2026-02-03T08:20:00Z,272,0.0062,28,11,268,270,normal
2026-02-03T08:25:00Z,633,0.0453,81,114,363,507,database_pressure
2026-02-03T08:30:00Z,1190,0.0502,112,66,457,277,database_pressure
2026-02-03T08:35:00Z,267,0.0087,20,1,486,285,normal
2026-02-03T08:40:00Z,280,0.0084,35,28,186,491,normal
2026-02-03T08:45:00Z,1827,0.0344,30,99,984,664,vendor_degradation
2026-02-03T08:50:00Z,257,0.0067,45,19,206,822,normal
2026-02-03T08:55:00Z,482,0.0408,69,54,325,1785,traffic_spike
